HallTicketNumber,Pyramid Weekly Contest,Pyramid Monthly Contest
23R01A05A6,,
23R01A05FF,,
24R05A0537,,
23R01A67J5,0.0,0.0
23R01A04B6,,
23R01A05U1,,
23R01A05K9,0.0,0.0
23R01A05G2,0.0,0.0
23R01A05N1,0.0,0.0
23R01A0528,,
23R01A04F1,,
23R01A6710,,
23R01A66T2,,
23R01A66L4,0.0,0.0
23R01A67F1,0.0,0.0
23R01A66W2,0.0,0.0
23R01A05W3,,
23R01A6644,0.0,0.0
23R01A66T8,0.0,0.0
24R05A6630,0.0,0.0
23R01A05CM,,
23R01A04K1,0.0,0.0
24R05A0519,,
23R01A66B2,0.0,19.0
23R01A6697,,
24R05A0531,0.0,0.0
23R01A05BP,0.0,0.0
23R01A6684,0.0,0.0
23R01A66B9,18.0,0.0
23R01A05CJ,0.0,0.0
24R05A6629,,
23R01A66Y4,0.0,0.0
23R01A66T3,0.0,0.0
23R01A66R9,0.0,0.0
23R01A05X0,,
23R01A0495,0.0,0.0
23R01A05EU,,
23R01A66F1,0.0,0.0
23R01A05AP,,
23R01A05EC,,
23R01A05Z7,,
24R05A0409,0.0,0.0
23R01A0459,,
23R01A6714,14.0,0.0
24R05A6608,14.0,0.0
23R01A0578,18.0,0.0
23R01A05B0,0.0,0.0
23R01A05E9,,
23R01A05N2,,
23R01A6775,,
23R01A66J2,0.0,0.0
23R01A0549,0.0,0.0
23R01A05CE,0.0,0.0
23R01A05R8,,
23R01A05ED,,
23R01A66D7,,
23R01A05C3,32.0,0.0
23R01A04J2,0.0,0.0
23R01A67H4,,
24R05A0542,,
23R01A66P7,0.0,0.0
23R01A04F2,,
23R01A0553,,
23R01A6709,,
23R01A6643,0.0,31.0
23R01A66W1,0.0,0.0
23R01A67G0,,
23R01A05P4,,
23R01A05EK,,
23R01A05L9,,
23R01A0413,0.0,0.0
23R01A66F5,,
23R01A0543,,
23R01A0412,0.0,0.0
23R01A6754,,
24R05A6712,0.0,0.0
23R01A6664,,
24R05A0546,,
23R01A66L6,,
23R01A04F3,,
23R01A0463,0.0,0.0
23R01A0417,,
23R01A0581,0.0,0.0
23R01A66D6,,
23R01A66T7,0.0,0.0
24R05A6614,0.0,0.0
23R01A66U6,0.0,38.0
23R01A05DV,,
23R01A04D0,0.0,0.0
23R01A05W8,,
23R01A0504,,
23R01A0577,0.0,0.0
23R01A05BA,,
23R01A66Q6,0.0,0.0
